0
ELAPSED: 93.84435153007507
wrote to ../../heightmaps/mp_eroded_50000_heightmap1.png
         34583490 function calls (34518688 primitive calls) in 97.285 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4111    0.001    0.000    0.007    0.000 trait_notifiers.py:553(_notify_function_listener)
     1302    0.001    0.000    0.001    0.000 has_traits.py:3242(pre_notify)
     3395    0.001    0.000    0.021    0.000 trait_notifiers.py:478(dispatch)
      660    0.001    0.000    0.014    0.000 trait_list_object.py:351(append)
      425    0.001    0.000    0.021    0.000 artist.py:1290(get_valid_values)
        1    0.001    0.001    0.001    0.001 {built-in method _win32sysloader.LoadModule}
1433/1432    0.001    0.000    0.541    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
     4516    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
      266    0.001    0.000    0.058    0.000 sre_compile.py:759(compile)
     2898    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      441    0.001    0.000    0.033    0.000 __init__.py:2863(get_entry_map)
      966    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
     1241    0.001    0.000    0.015    0.000 __init__.py:655(__setitem__)
       77    0.001    0.000    0.040    0.001 __init__.py:1625(_get)
      662    0.001    0.000    0.005    0.000 trait_types.py:2458(validate)
      900    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
      266    0.001    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
     2094    0.001    0.000    0.041    0.000 inspect.py:3081(signature)
     2848    0.001    0.000    0.001    0.000 version.py:65(_compare)
      708    0.001    0.000    0.002    0.000 {method 'sort' of 'list' objects}
      966    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
     2604    0.001    0.000    0.004    0.000 has_traits.py:930(wrapper0)
      612    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
      343    0.001    0.000    0.002    0.000 __init__.py:685(add)
     2177    0.001    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
     8286    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      686    0.001    0.000    0.009    0.000 {method 'trait_items_event' of 'traits.ctraits.CHasTraits' objects}
      167    0.001    0.000    0.002    0.000 trait_numeric.py:51(__init__)
     8286    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     2094    0.001    0.000    0.040    0.000 inspect.py:2829(from_callable)
     5042    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
     1474    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:151(__exit__)
      791    0.001    0.000    0.018    0.000 trait_notifiers.py:572(_dispatch_change_event)
      993    0.001    0.000    0.001    0.000 trait_list_object.py:198(__new__)
      700    0.001    0.000    0.005    0.000 colors.py:161(to_rgba)
      881    0.001    0.000    0.002    0.000 copy.py:268(_reconstruct)
     2934    0.001    0.000    0.001    0.000 version.py:207(<genexpr>)
     1727    0.001    0.000    0.001    0.000 has_traits.py:918(weak_arg)
     3997    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
      582    0.001    0.000    0.017    0.000 traits.py:148(Trait)
        1    0.001    0.001    0.026    0.026 __init__.py:58(<module>)
      966    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      595    0.001    0.000    0.001    0.000 textwrap.py:179(<listcomp>)
     2000    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
     1747    0.001    0.000    0.021    0.000 artist.py:1356(is_alias)
      966    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       64    0.001    0.000    0.008    0.000 {built-in method builtins.eval}
     5316    0.001    0.000    0.001    0.000 {method 'clone' of 'traits.ctraits.cTrait' objects}
        1    0.001    0.001    0.001    0.001 tvtk_helper.py:70(TVTK)
     2282    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
     3375    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
      966    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      286    0.001    0.000    0.002    0.000 markers.py:249(default_environment)
   675/53    0.001    0.000    3.288    0.062 {built-in method builtins.__import__}
      616    0.001    0.000    0.001    0.000 genericpath.py:117(_splitext)
     1664    0.001    0.000    0.001    0.000 trait_list_object.py:867(_validate_length)
2148/1732    0.001    0.000    0.001    0.000 traits_listener.py:501(_handler_changed)
       80    0.001    0.000    0.001    0.000 {built-in method binascii.a2b_base64}
     2899    0.001    0.000    0.001    0.000 {built-in method from_bytes}
     2552    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
     2523    0.001    0.000    0.001    0.000 traits_listener.py:1205(__call__)
       12    0.001    0.000    0.016    0.001 artist.py:1262(get_aliases)
      660    0.001    0.000    0.015    0.000 trait_list_object.py:713(append)
      286    0.001    0.000    0.003    0.000 overrides.py:72(verify_matching_signatures)
  798/746    0.001    0.000    0.447    0.001 trait_factory.py:38(__call__)
     3017    0.001    0.000    0.001    0.000 has_traits.py:194(is_unbound_method_type)
     4414    0.001    0.000    0.001    0.000 {method 'set_default_value' of 'traits.ctraits.cTrait' objects}
     4516    0.001    0.000    0.002    0.000 cp437.py:14(decode)
     1036    0.001    0.000    0.012    0.000 version.py:24(parse)
      240    0.001    0.000    0.005    0.000 gzip.py:438(read)
  853/822    0.001    0.000    0.004    0.000 traits_listener.py:393(unregister)
      415    0.001    0.000    0.009    0.000 item.py:408(__repr__)
       80    0.001    0.000    0.001    0.000 {built-in method _pickle.loads}
      266    0.001    0.000    0.037    0.000 sre_parse.py:919(parse)
      693    0.001    0.000    0.058    0.000 __init__.py:2774(_get_metadata)
     2926    0.001    0.000    0.044    0.000 {method 'extend' of 'list' objects}
     7125    0.001    0.000    0.001    0.000 trait_notifiers.py:384(<lambda>)
     1327    0.001    0.000    0.001    0.000 pyparsing.py:411(__getitem__)
     1148    0.001    0.000    0.001    0.000 __init__.py:2646(key)
     6570    0.001    0.000    0.001    0.000 inspect.py:2517(name)
      791    0.001    0.000    0.019    0.000 trait_notifiers.py:584(_notify_method_listener)
        1    0.001    0.001    0.002    0.002 vtk_module.py:9(<module>)
  203/176    0.001    0.000    0.658    0.004 <frozen importlib._bootstrap_external>:1040(create_module)
        1    0.001    0.001    0.001    0.001 color_trait.py:14(<module>)
     1187    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
     4746    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
     1316    0.001    0.000    0.001    0.000 traits_listener.py:992(_get_backspace)
  599/597    0.001    0.000    0.017    0.000 traits.py:261(__init__)
     5371    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
       17    0.001    0.000    0.002    0.000 enum.py:135(__new__)
      335    0.001    0.000    0.001    0.000 pyparsing.py:1144(__init__)
     1916    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
        1    0.001    0.001    0.001    0.001 tree_node.py:1751(MultiTreeNode)
